10:25:36.026Z, Subsystem Time =2018-10-23T10:25:36.026Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.180Z, Assembly Time=2018-10-23T10:25:36.180Z, HCD Time=2018-10-23T10:25:36.180Z, Subsystem Time =2018-10-23T10:25:36.180Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.185Z, Assembly Time=2018-10-23T10:25:36.185Z, HCD Time=2018-10-23T10:25:36.186Z, Subsystem Time =2018-10-23T10:25:36.186Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.191Z, Assembly Time=2018-10-23T10:25:36.191Z, HCD Time=2018-10-23T10:25:36.191Z, Subsystem Time =2018-10-23T10:25:36.191Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.196Z, Assembly Time=2018-10-23T10:25:36.196Z, HCD Time=2018-10-23T10:25:36.196Z, Subsystem Time =2018-10-23T10:25:36.196Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.201Z, Assembly Time=2018-10-23T10:25:36.201Z, HCD Time=2018-10-23T10:25:36.201Z, Subsystem Time =2018-10-23T10:25:36.201Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.207Z, Assembly Time=2018-10-23T10:25:36.207Z, HCD Time=2018-10-23T10:25:36.207Z, Subsystem Time =2018-10-23T10:25:36.207Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.212Z, Assembly Time=2018-10-23T10:25:36.212Z, HCD Time=2018-10-23T10:25:36.212Z, Subsystem Time =2018-10-23T10:25:36.212Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.217Z, Assembly Time=2018-10-23T10:25:36.217Z, HCD Time=2018-10-23T10:25:36.218Z, Subsystem Time =2018-10-23T10:25:36.218Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.222Z, Assembly Time=2018-10-23T10:25:36.222Z, HCD Time=2018-10-23T10:25:36.223Z, Subsystem Time =2018-10-23T10:25:36.223Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.228Z, Assembly Time=2018-10-23T10:25:36.228Z, HCD Time=2018-10-23T10:25:36.228Z, Subsystem Time =2018-10-23T10:25:36.228Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.233Z, Assembly Time=2018-10-23T10:25:36.233Z, HCD Time=2018-10-23T10:25:36.233Z, Subsystem Time =2018-10-23T10:25:36.233Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.239Z, Assembly Time=2018-10-23T10:25:36.239Z, HCD Time=2018-10-23T10:25:36.239Z, Subsystem Time =2018-10-23T10:25:36.239Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.244Z, Assembly Time=2018-10-23T10:25:36.244Z, HCD Time=2018-10-23T10:25:36.244Z, Subsystem Time =2018-10-23T10:25:36.244Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.249Z, Assembly Time=2018-10-23T10:25:36.249Z, HCD Time=2018-10-23T10:25:36.249Z, Subsystem Time =2018-10-23T10:25:36.249Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.254Z, Assembly Time=2018-10-23T10:25:36.254Z, HCD Time=2018-10-23T10:25:36.255Z, Subsystem Time =2018-10-23T10:25:36.255Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.260Z, Assembly Time=2018-10-23T10:25:36.260Z, HCD Time=2018-10-23T10:25:36.260Z, Subsystem Time =2018-10-23T10:25:36.260Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.265Z, Assembly Time=2018-10-23T10:25:36.265Z, HCD Time=2018-10-23T10:25:36.265Z, Subsystem Time =2018-10-23T10:25:36.265Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.271Z, Assembly Time=2018-10-23T10:25:36.271Z, HCD Time=2018-10-23T10:25:36.271Z, Subsystem Time =2018-10-23T10:25:36.271Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.276Z, Assembly Time=2018-10-23T10:25:36.276Z, HCD Time=2018-10-23T10:25:36.276Z, Subsystem Time =2018-10-23T10:25:36.276Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.281Z, Assembly Time=2018-10-23T10:25:36.281Z, HCD Time=2018-10-23T10:25:36.281Z, Subsystem Time =2018-10-23T10:25:36.281Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.286Z, Assembly Time=2018-10-23T10:25:36.286Z, HCD Time=2018-10-23T10:25:36.287Z, Subsystem Time =2018-10-23T10:25:36.287Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.292Z, Assembly Time=2018-10-23T10:25:36.292Z, HCD Time=2018-10-23T10:25:36.292Z, Subsystem Time =2018-10-23T10:25:36.292Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.297Z, Assembly Time=2018-10-23T10:25:36.297Z, HCD Time=2018-10-23T10:25:36.297Z, Subsystem Time =2018-10-23T10:25:36.297Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.302Z, Assembly Time=2018-10-23T10:25:36.302Z, HCD Time=2018-10-23T10:25:36.302Z, Subsystem Time =2018-10-23T10:25:36.302Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.308Z, Assembly Time=2018-10-23T10:25:36.308Z, HCD Time=2018-10-23T10:25:36.308Z, Subsystem Time =2018-10-23T10:25:36.308Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.313Z, Assembly Time=2018-10-23T10:25:36.313Z, HCD Time=2018-10-23T10:25:36.313Z, Subsystem Time =2018-10-23T10:25:36.313Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.318Z, Assembly Time=2018-10-23T10:25:36.318Z, HCD Time=2018-10-23T10:25:36.318Z, Subsystem Time =2018-10-23T10:25:36.318Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.324Z, Assembly Time=2018-10-23T10:25:36.324Z, HCD Time=2018-10-23T10:25:36.324Z, Subsystem Time =2018-10-23T10:25:36.324Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.329Z, Assembly Time=2018-10-23T10:25:36.329Z, HCD Time=2018-10-23T10:25:36.330Z, Subsystem Time =2018-10-23T10:25:36.330Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
