2018-10-23T10:13:41.692Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.691Z, hcd time=2018-10-23T10:13:41.691Z, assembly time=2018-10-23T10:13:41.691Z, subscriber time=2018-10-23T10:13:41.692Z, Duration(hcd to subscriber in ms)=1, Duration(subsystem to subscriber in ms)=1, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.702Z INFO  enc-event-client-app - Event=health, health=GOOD, reason=good, subsystem time=2018-10-23T10:13:41.701Z, hcd time=NA, assembly time=2018-10-23T10:13:41.701Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.712Z INFO  enc-event-client-app - Event=diagnostic, diagnostics=(5,6,7,8,9,5,3,2,1,2,3,5,6,7,8), param2=NA, subsystem time=2018-10-23T10:13:41.711Z, hcd time=NA, assembly time=NA, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.712Z INFO  enc-event-client-app - Event=diagnostic, diagnostics=(5,6,7,8,9,5,3,2,1,2,3,5,6,7,8), param2=NA, subsystem time=2018-10-23T10:13:41.711Z, hcd time=NA, assembly time=NA, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.712Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.711Z, hcd time=2018-10-23T10:13:41.711Z, assembly time=2018-10-23T10:13:41.711Z, subscriber time=2018-10-23T10:13:41.712Z, Duration(hcd to subscriber in ms)=1, Duration(subsystem to subscriber in ms)=1, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.712Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.711Z, hcd time=2018-10-23T10:13:41.711Z, assembly time=2018-10-23T10:13:41.711Z, subscriber time=2018-10-23T10:13:41.712Z, Duration(hcd to subscriber in ms)=1, Duration(subsystem to subscriber in ms)=1, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.714Z INFO  enc-event-client-app - Event=assemblyState, Lifecycle state=Initialized, operational state=Idle, subsystem time=NA, hcd time=NA, assembly time=2018-10-23T10:13:41.681Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.722Z INFO  enc-event-client-app - Event=health, health=GOOD, reason=good, subsystem time=2018-10-23T10:13:41.721Z, hcd time=NA, assembly time=2018-10-23T10:13:41.721Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.732Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.732Z, hcd time=2018-10-23T10:13:41.732Z, assembly time=2018-10-23T10:13:41.732Z, subscriber time=2018-10-23T10:13:41.732Z, Duration(hcd to subscriber in ms)=0, Duration(subsystem to subscriber in ms)=0, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.732Z INFO  enc-event-client-app - Event=diagnostic, diagnostics=(5,6,7,8,9,5,3,2,1,2,3,5,6,7,8), param2=NA, subsystem time=2018-10-23T10:13:41.731Z, hcd time=NA, assembly time=NA, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.732Z INFO  enc-event-client-app - Event=diagnostic, diagnostics=(5,6,7,8,9,5,3,2,1,2,3,5,6,7,8), param2=NA, subsystem time=2018-10-23T10:13:41.732Z, hcd time=NA, assembly time=NA, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.732Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.732Z, hcd time=2018-10-23T10:13:41.732Z, assembly time=2018-10-23T10:13:41.732Z, subscriber time=2018-10-23T10:13:41.732Z, Duration(hcd to subscriber in ms)=0, Duration(subsystem to subscriber in ms)=0, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.742Z INFO  enc-event-client-app - Event=health, health=GOOD, reason=good, subsystem time=2018-10-23T10:13:41.742Z, hcd time=NA, assembly time=2018-10-23T10:13:41.742Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.751Z INFO  enc-event-client-app - Event=diagnostic, diagnostics=(5,6,7,8,9,5,3,2,1,2,3,5,6,7,8), param2=NA, subsystem time=2018-10-23T10:13:41.751Z, hcd time=NA, assembly time=NA, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.751Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.751Z, hcd time=2018-10-23T10:13:41.751Z, assembly time=2018-10-23T10:13:41.751Z, subscriber time=2018-10-23T10:13:41.751Z, Duration(hcd to subscriber in ms)=0, Duration(subsystem to subscriber in ms)=0, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.761Z INFO  enc-event-client-app - Event=health, health=GOOD, reason=good, subsystem time=2018-10-23T10:13:41.761Z, hcd time=NA, assembly time=2018-10-23T10:13:41.761Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.764Z INFO  enc-event-client-app - Event=assemblyState, Lifecycle state=Initialized, operational state=Idle, subsystem time=NA, hcd time=NA, assembly time=2018-10-23T10:13:41.732Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.771Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.771Z, hcd time=2018-10-23T10:13:41.771Z, assembly time=2018-10-23T10:13:41.771Z, subscriber time=2018-10-23T10:13:41.771Z, Duration(hcd to subscriber in ms)=0, Duration(subsystem to subscriber in ms)=0, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.771Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.771Z, hcd time=2018-10-23T10:13:41.771Z, assembly time=2018-10-23T10:13:41.771Z, subscriber time=2018-10-23T10:13:41.771Z, Duration(hcd to subscriber in ms)=0, Duration(subsystem to subscriber in ms)=0, Duration(hcd to assembly in ms)=0
