PK publish timeStamp(t0),Assembly receive timeStamp(t1),HCD receive timeStamp(t2),Simulator receive timeStamp(t3)
2018-12-27T11:04:14.191663, 2018-12-27T11:04:18.646096, 2018-12-27T11:04:18.649107, 2018-12-27T11:04:18.649127
2018-12-27T11:04:14.280447, 2018-12-27T11:04:18.653084, 2018-12-27T11:04:18.653512, 2018-12-27T11:04:18.653535
2018-12-27T11:04:14.292943, 2018-12-27T11:04:18.677138, 2018-12-27T11:04:18.678003, 2018-12-27T11:04:18.678028
2018-12-27T11:04:14.309270, 2018-12-27T11:04:18.700812, 2018-12-27T11:04:18.701219, 2018-12-27T11:04:18.701236
2018-12-27T11:04:14.399586, 2018-12-27T11:04:18.716643, 2018-12-27T11:04:18.719734, 2018-12-27T11:04:18.719762
2018-12-27T11:04:14.410663, 2018-12-27T11:04:18.729059, 2018-12-27T11:04:18.729548, 2018-12-27T11:04:18.729573
2018-12-27T11:04:14.423866, 2018-12-27T11:04:18.737709, 2018-12-27T11:04:18.738560, 2018-12-27T11:04:18.738586
2018-12-27T11:04:14.434961, 2018-12-27T11:04:18.743723, 2018-12-27T11:04:18.744196, 2018-12-27T11:04:18.744223
2018-12-27T11:04:14.445953, 2018-12-27T11:04:18.764193, 2018-12-27T11:04:18.764835, 2018-12-27T11:04:18.764874
2018-12-27T11:04:14.459134, 2018-12-27T11:04:18.769712, 2018-12-27T11:04:18.773130, 2018-12-27T11:04:18.773174
2018-12-27T11:04:14.483536, 2018-12-27T11:04:18.777938, 2018-12-27T11:04:18.778461, 2018-12-27T11:04:18.778489
2018-12-27T11:04:14.492634, 2018-12-27T11:04:18.790071, 2018-12-27T11:04:18.790705, 2018-12-27T11:04:18.790729
2018-12-27T11:04:14.506300, 2018-12-27T11:04:18.811742, 2018-12-27T11:04:18.812810, 2018-12-27T11:04:18.812841
2018-12-27T11:04:14.519067, 2018-12-27T11:04:18.819145, 2018-12-27T11:04:18.822984, 2018-12-27T11:04:18.823016
2018-12-27T11:04:14.530308, 2018-12-27T11:04:18.823014, 2018-12-27T11:04:18.823673, 2018-12-27T11:04:18.823693
2018-12-27T11:04:14.545254, 2018-12-27T11:04:18.831515, 2018-12-27T11:04:18.832269, 2018-12-27T11:04:18.832294
2018-12-27T11:04:14.558349, 2018-12-27T11:04:18.847793, 2018-12-27T11:04:18.854442, 2018-12-27T11:04:18.854549
2018-12-27T11:04:14.569026, 2018-12-27T11:04:18.863990, 2018-12-27T11:04:18.866282, 2018-12-27T11:04:18.866314
2018-12-27T11:04:14.579460, 2018-12-27T11:04:18.869840, 2018-12-27T11:04:18.870373, 2018-12-27T11:04:18.870393
2018-12-27T11:04:14.593727, 2018-12-27T11:04:18.903046, 2018-12-27T11:04:18.903495, 2018-12-27T11:04:18.903519
2018-12-27T11:04:14.605778, 2018-12-27T11:04:18.911084, 2018-12-27T11:04:18.911550, 2018-12-27T11:04:18.911567
2018-12-27T11:04:14.616584, 2018-12-27T11:04:18.922410, 2018-12-27T11:04:18.922967, 2018-12-27T11:04:18.922986
2018-12-27T11:04:14.630242, 2018-12-27T11:04:18.926033, 2018-12-27T11:04:18.926764, 2018-12-27T11:04:18.926789
2018-12-27T11:04:14.648074, 2018-12-27T11:04:18.938336, 2018-12-27T11:04:18.938772, 2018-12-27T11:04:18.938799
2018-12-27T11:04:14.664062, 2018-12-27T11:04:18.948764, 2018-12-27T11:04:18.949332, 2018-12-27T11:04:18.949358
2018-12-27T11:04:14.676757, 2018-12-27T11:04:18.959102, 2018-12-27T11:04:18.960938, 2018-12-27T11:04:18.960963
2018-12-27T11:04:14.687769, 2018-12-27T11:04:18.977875, 2018-12-27T11:04:18.978484, 2018-12-27T11:04:18.978508
2018-12-27T11:04:14.700275, 2018-12-27T11:04:18.982252, 2018-12-27T11:04:18.982878, 2018-12-27T11:04:18.982904
2018-12-27T11:04:14.715642, 2018-12-27T11:04:19.011116, 2018-12-27T11:04:19.011647, 2018-12-27T11:04:19.011677
2018-12-27T11:04:14.726744, 2018-12-27T11:04:19.021482, 2018-12-27T11:04:19.021977, 2018-12-27T11:04:19.022005
2018-12-27T11:04:14.738988, 2018-12-27T11:04:19.044152, 2018-12-27T11:04:19.044653, 2018-12-27T11:04:19.044684
2018-12-27T11:04:14.761433, 2018-12-27T11:04:19.049736, 2018-12-27T11:04:19.050267, 2018-12-27T11:04:19.050297
2018-12-27T11:04:14.761554, 2018-12-27T11:04:19.052729, 2018-12-27T11:04:19.053224, 2018-12-27T11:04:19.053253
2018-12-27T11:04:14.773991, 2018-12-27T11:04:19.055653, 2018-12-27T11:04:19.056070, 2018-12-27T11:04:19.056087
2018-12-27T11:04:14.786047, 2018-12-27T11:04:19.086795, 2018-12-27T11:04:19.087233, 2018-12-27T11:04:19.087251
2018-12-27T11:04:14.796420, 2018-12-27T11:04:19.096795, 2018-12-27T11:04:19.123847, 2018-12-27T11:04:19.123876
2018-12-27T11:04:14.809601, 2018-12-27T11:04:19.120130, 2018-12-27T11:04:19.124283, 2018-12-27T11:04:19.124303
